geometry,addr:housenumber,addr:postcode,addr:street,amenity,healthcare,name,phone,ref:CNES,ref:vatin,website,wheelchair,wikidata,wikipedia,name:pt,addr:city,addr:state,addr:suburb,contact:facebook,contact:flickr,contact:instagram,contact:twitter,contact:youtube,email,emergency,fax,military_service,opening_hours,operator,operator:wikidata,short_name,start_date,landuse,military,operator:short,police,contact:phone,contact:website,toilets:wheelchair,official_name,shelter,bench,healthcare:speciality,wikimedia_commons,departures_board,description,gtfs_id,route_ref,barrier,check_date,operator:type,mobile,addr:country,alt_name,name:en,name:etymology:wikidata,url,building,source,loc_name,contact:email,contact:fax,operator:ref:vatin,operator:wikipedia,internet_access,contact:linkedin,old_name,height,toilets,area,internet_access:fee,note,payment:cash,payment:credit_cards,payment:debit_cards,internet_access:ssid,building:levels,brand:wikidata,contact:google_plus,wall,ele,fixme,level,payment:account_cards,payment:american_express,payment:cheque,payment:contactless,payment:cryptocurrencies,payment:diners_club,payment:discover_card,payment:dkv,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:pikepass,payment:uta,payment:visa,payment:visa_debit,payment:visa_electron,tourism,addr:district,disused:amenity,disused:studio,old_website,fence_type,type,addr:housename,roof:colour,roof:shape,contact:spotify,addr:subdistrict
"POLYGON ((-46.6887756 -23.536544, -46.6881744 -23.5357068, -46.6877637 -23.5359593, -46.6877901 -23.535997, -46.6878118 -23.536028, -46.6878958 -23.536148, -46.6879189 -23.536181, -46.6881335 -23.5364876, -46.6881659 -23.5365339, -46.6883322 -23.5367714, -46.6883507 -23.5367815, -46.6883815 -23.5367814, -46.6884709 -23.5367276, -46.6887756 -23.536544))",1142,05021-001,Rua Cotoxó,hospital,hospital,Complexo Hospitalar Cotoxó,,,,,,,,,São Paulo,,,,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,Instituto Perdizes do hcfmusp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
"POLYGON ((-46.638947 -23.5884546, -46.6389288 -23.5883977, -46.6387248 -23.587758, -46.6383396 -23.58786, -46.6378163 -23.5879894, -46.6376296 -23.5878676, -46.6374198 -23.5876765, -46.63739 -23.587839, -46.6373938 -23.5878623, -46.6373886 -23.5879093, -46.6376463 -23.5881873, -46.637701 -23.5884482, -46.6377058 -23.5887423, -46.6380628 -23.5886634, -46.638947 -23.5884546))",,,,hospital,hospital,Centro de Atenção Integral a Saúde Mental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
"POLYGON ((-46.6848923 -23.5936491, -46.6849585 -23.593451, -46.6850126 -23.5932895, -46.6851206 -23.5929664, -46.6841915 -23.5927297, -46.6840856 -23.5930541, -46.6842579 -23.5931038, -46.6846281 -23.5932105, -46.6848191 -23.5932655, -46.6847078 -23.5935961, -46.6848923 -23.5936491), (-46.684755 -23.5934745, -46.6847889 -23.5934847, -46.6847825 -23.5935013, -46.6847504 -23.5934922, -46.684755 -23.5934745), (-46.6847669 -23.593441, -46.6848016 -23.5934505, -46.6847939 -23.5934734, -46.6847604 -23.593465, -46.6847669 -23.593441), (-46.6847804 -23.5933979, -46.6848143 -23.5934103, -46.684805 -23.5934399, -46.6847673 -23.593429, -46.6847804 -23.5933979), (-46.6848795 -23.5933018, -46.6848942 -23.5932571, -46.6850119 -23.5932895, -46.6849577 -23.5934505, -46.6849059 -23.5934378, -46.6848759 -23.5935272, -46.6848068 -23.5935119, -46.6848353 -23.5934322, -46.6848261 -23.5934313, -46.6848297 -23.5934131, -46.6848434 -23.5934141, -46.6848495 -23.5933912, -46.6847885 -23.5933768, -46.6848165 -23.5932892, -46.6848795 -23.5933018), (-46.6844664 -23.5930661, -46.684429 -23.5930522, -46.6844979 -23.5928628, -46.6845317 -23.5928724, -46.6845353 -23.5928628, -46.6848061 -23.592942, -46.6848026 -23.5929548, -46.6848832 -23.5929751, -46.6848143 -23.5931634, -46.6847909 -23.593157, -46.6847396 -23.5931677, -46.6845329 -23.5931078, -46.6844792 -23.5930896, -46.6844664 -23.5930661))",29,,,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,
"POLYGON ((-46.6511339 -23.5840337, -46.6508593 -23.5838895, -46.6508661 -23.5838827, -46.6507575 -23.5837985, -46.6507273 -23.5838317, -46.650587 -23.5837623, -46.6504705 -23.5837045, -46.6503391 -23.5838839, -46.6501138 -23.5842047, -46.6502975 -23.5843049, -46.6501479 -23.5844653, -46.6504356 -23.5854399, -46.6511571 -23.5852912, -46.6514938 -23.5852408, -46.6515782 -23.5852433, -46.6516882 -23.5852592, -46.6517942 -23.5852851, -46.6523735 -23.585435, -46.6527946 -23.5855382, -46.6528628 -23.5852533, -46.6529493 -23.5848905, -46.6530024 -23.584546, -46.6529086 -23.5842563, -46.6527329 -23.5840363, -46.6525988 -23.5838556, -46.6525036 -23.5837548, -46.652395 -23.5836541, -46.6523467 -23.5836356, -46.6523092 -23.5836381, -46.6522421 -23.5836664, -46.6516627 -23.5839306, -46.6515112 -23.5839306, -46.6513234 -23.5839933, -46.6511339 -23.5840337))",500,04012-909,Avenida Doutor Dante Pazzanese,hospital,hospital,Instituto Dante Pazzanese de Cardiologia,,2088495,BR53725560000170,,,Q10302455,,,São Paulo,,,,,,,,,,,,,Fundação Adib Jatene,,,,,,,,+55 11 5085 6000,,,,,,cardiology,Category:Instituto Dante Pazzanese de Cardiologia,,,,,,,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7229014 -23.537198, -46.7229389 -23.5383191, -46.7226896 -23.5381981, -46.7209812 -23.5374968, -46.7209461 -23.5374261, -46.7215069 -23.5373833, -46.7229014 -23.537198))",313,,Avenida Queiroz Filho,hospital,hospital,Unidade de Pronto Atendimento Lapa,,,,,,,,,,,Alto da Lapa,,,,,,,yes,,,,,,,,,,,,,,,,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6736381 -23.5553395, -46.6732948 -23.5551253, -46.6731593 -23.5550475, -46.6729179 -23.5548939, -46.6726794 -23.5547519, -46.6722936 -23.5545178, -46.6720428 -23.5543656, -46.6717686 -23.5542117, -46.6715392 -23.5540763, -46.6714943 -23.5540495, -46.6714293 -23.5540395, -46.6713586 -23.5540338, -46.6711557 -23.5541157, -46.6706488 -23.5543173, -46.6704374 -23.5543951, -46.6703014 -23.5544451, -46.6698535 -23.5546443, -46.6697962 -23.5546706, -46.6696496 -23.5547377, -46.6693774 -23.5548613, -46.6692352 -23.5549295, -46.6690515 -23.555011, -46.6688643 -23.555087, -46.6685405 -23.5552184, -46.6680195 -23.5554402, -46.6665477 -23.5560667, -46.6664203 -23.5561429, -46.6663778 -23.5561808, -46.6663368 -23.5562173, -46.6663059 -23.5562497, -46.6662798 -23.5562956, -46.6662549 -23.5563425, -46.6662448 -23.5563906, -46.6662257 -23.5564671, -46.6662134 -23.556517, -46.6662135 -23.5565874, -46.6662275 -23.5566596, -46.6662544 -23.5567405, -46.6662988 -23.5568318, -46.6663468 -23.5569071, -46.6664103 -23.5569479, -46.666529 -23.5570142, -46.666824 -23.5571953, -46.6673005 -23.5574723, -46.6674559 -23.5576054, -46.6677733 -23.5578294, -46.6683492 -23.5582556, -46.6686598 -23.5584514, -46.6690599 -23.5586791, -46.6695256 -23.5589252, -46.669917 -23.5591489, -46.6714432 -23.5600071, -46.6716997 -23.5596693, -46.6717679 -23.559563, -46.6719117 -23.5593446, -46.6720707 -23.5591165, -46.6722654 -23.5588449, -46.6723422 -23.5587377, -46.6724398 -23.5585893, -46.6729394 -23.5578898, -46.6730194 -23.5577755, -46.6729528 -23.5575001, -46.6729615 -23.5574767, -46.672993 -23.5574583, -46.6730976 -23.5574435, -46.6732089 -23.5574435, -46.6734925 -23.55705, -46.6735603 -23.5559872, -46.6736365 -23.5556017, -46.6736381 -23.5553395))",,,,hospital,hospital,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,,,,https://www.hc.fm.usp.br/,,Q5908682,pt:Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,Category:Hospital das Clínicas da Universidade de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7162865 -23.5999852, -46.7170483 -23.600478, -46.7163536 -23.6009008, -46.7162872 -23.6009321, -46.7162228 -23.6009426, -46.71561 -23.6009315, -46.7154544 -23.6009346, -46.715274 -23.6009524, -46.7149843 -23.6009917, -46.7149542 -23.6009856, -46.7149233 -23.6009622, -46.7148671 -23.6009258, -46.7147704 -23.6007748, -46.7136526 -23.5990709, -46.7148462 -23.5986727, -46.7150179 -23.5990119, -46.7152163 -23.5992405, -46.7162865 -23.5999852))",,,,hospital,hospital,Hospital Israelita Albert Einstein,,,,,,Q1630439,pt:Hospital Israelita Albert Einstein,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,Category:Hospital Israelita Albert Einstein,,,,,,,private,,,Albert Einstein,Albert Einstein Israelite Hospital,Q937,http://www.einstein.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7381544 -23.4884122, -46.7381443 -23.4887625, -46.7383406 -23.488777, -46.7383503 -23.4884246, -46.7381544 -23.4884122))",,,Avenida do Anastácio,hospital,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7601567 -23.4872059, -46.7609898 -23.4887008, -46.761745 -23.4883377, -46.7609674 -23.486874, -46.7601567 -23.4872059))",1078,,Avenida Jornalista Paulo Zingg,hospital,hospital,Casa de Saúde Nossa Senhora de Fátima,,,,,,,,,,,,,,,,,,,,,,Irmãs Hospitaleiras,,,,,,,,,,,,,,,,,,,,,,private_non_profit,,,Irmãs Hospitaleiras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.728305 -23.4836575, -46.7274997 -23.483653, -46.7272312 -23.4837022, -46.7266407 -23.484029, -46.7265555 -23.4840617, -46.7265921 -23.4843097, -46.7265242 -23.4847286, -46.7268011 -23.4855598, -46.7269948 -23.4856336, -46.7273142 -23.4855913, -46.7281 -23.4853048, -46.728222 -23.48526, -46.728423 -23.4847099, -46.728525 -23.4843487, -46.728533 -23.4841965, -46.728527 -23.4840865, -46.728437 -23.4838188, -46.728305 -23.4836575))",100,,Avenida Menotti Laudisio,hospital,hospital,Hospital Municipal Doutor José Soares Hungria,,2077450,,,,,,,,,,,,,,,,yes,,,,Secretaria Municipal da Saúde,,,,,,,,+55 11 3394-8600,,,,,,general,,,,,,,,government,,,Hospital de Pirituba,,,,,CNES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7240982 -23.4855749, -46.7244274 -23.4857848, -46.7249815 -23.4861641, -46.7251542 -23.4862967, -46.7248691 -23.4872505, -46.7246161 -23.4875856, -46.724319 -23.4878471, -46.7240901 -23.4880054, -46.7239841 -23.4879331, -46.7236526 -23.4878369, -46.7230975 -23.4877304, -46.7229417 -23.4871989, -46.7228976 -23.4867644, -46.7228936 -23.4864845, -46.7231626 -23.4864329, -46.7231907 -23.4859836, -46.7237288 -23.4858584, -46.7240982 -23.4855749))",5214,,Avenida Raimundo Pereira de Magalhães,hospital,hospital,Centro de Atenção Integrada à Saúde Mental Philippe Pinel,,,,,,,,,,,Pirituba,,,,,,,,,,,,,,1929,,,,,,,,,,,psychiatry,,,,,,,,,,,,,,,,,Hospital Psiquiátrico Pinel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6760587 -23.6824846, -46.6760258 -23.6824258, -46.6749578 -23.6805151, -46.6766903 -23.6796863, -46.6775556 -23.6811489, -46.677449 -23.6814121, -46.6774029 -23.6815111, -46.6773534 -23.6816461, -46.6775617 -23.6820276, -46.6760587 -23.6824846))",,,,hospital,hospital,Hospital Geral de Pedreira,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7045256 -23.650377, -46.7046667 -23.6505807, -46.7054272 -23.6501387, -46.705286 -23.649935, -46.7051314 -23.650025, -46.7050543 -23.6499181, -46.705026 -23.6498679, -46.7047007 -23.6500558, -46.7046396 -23.6499849, -46.7043571 -23.6501552, -46.7044589 -23.6502817, -46.7045256 -23.650377))",,,,hospital,hospital,Santa Casa de Misericórdia de Santo Amaro,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6287681 -23.6429393, -46.6287422 -23.6430329, -46.6286745 -23.6434261, -46.6286477 -23.6437219, -46.628594 -23.6442044, -46.6285359 -23.6452582, -46.6285268 -23.6454946, -46.6280841 -23.645591, -46.6274719 -23.6455812, -46.6259448 -23.6455566, -46.6260468 -23.6453612, -46.6261008 -23.6452671, -46.6261253 -23.6451536, -46.626135 -23.6450591, -46.6261882 -23.644827, -46.6263703 -23.6443284, -46.6265727 -23.6438542, -46.6267078 -23.6434844, -46.6267971 -23.643258, -46.6268183 -23.6431068, -46.6268278 -23.6428285, -46.6268436 -23.6426928, -46.6287681 -23.6429393))",3030,04301-002,Avenida Miguel Estéfano,hospital,hospital,Hospital Psiquátrico da Água Funda,,2070766,BR46374500012958,,,,,,São Paulo,,Água Funda,,,,,,,no,,,,,,,,,,,,+55 11 5077 7800;+55 11 5077 7814,,,,,,psychiatry,,,,,,,,,,BR,,,,,,,,diretoria_caism@saude.sp.gov.br,+55 11 5077 7887,BR46374500000194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6755103 -23.6052659, -46.6757973 -23.6059737, -46.6762872 -23.6057562, -46.6761325 -23.6054465, -46.6759166 -23.6055178, -46.6757852 -23.6051688, -46.6755103 -23.6052659))",2468,04556-100,Avenida Santo Amaro,hospital,hospital,Hospital Santa Paula,+55 11 3040-8000,2089580,BR60777901000116,https://www.santapaula.com.br/,,Q107519033,,,São Paulo,,Vila Olímpia,https://www.facebook.com/santapaularosa,,,,,ouvidoria@santapaula.com.br,yes,,,,,,,,,,,,,,,,,,general;urology;oncology;otolaryngology;orthopaedics;nephrology;ma;radiology;pulmonology;radiotherapy;cardiology;infectious_diseases;surgery;rheumatology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6524845 -23.5969382, -46.6520784 -23.5969577, -46.6520329 -23.5963929, -46.6514924 -23.5964586, -46.6510676 -23.5965103, -46.6510437 -23.5965373, -46.6511635 -23.5976013, -46.6519676 -23.5975274, -46.651953 -23.5973682, -46.6525219 -23.5973256, -46.6524845 -23.5969382))",724,04027-000,Avenida Professor Ascendino Reis,hospital,hospital,AACD Ibirapuera,,2077655,BR60979457000111,,,Q9634891,,,São Paulo,,,,,,,,,,,,,Associação de Assistência à Criança Deficiente,,,,,,,,+55 11 5576 0777,http://www.aacd.org.br/,,,,,,Category:Associação de Assistência à Criança Deficiente,,,,,,,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6526899 -23.5949419, -46.6509329 -23.5950255, -46.6510299 -23.5962593, -46.6510993 -23.5963058, -46.6521455 -23.5962183, -46.6535834 -23.5959028, -46.6531872 -23.5954809, -46.6526899 -23.5949419))",1450,04038-905,Rua Borges Lagoa,hospital,hospital,Complexo Hospitalar Edmundo Vasconcelos,,,,,,,,,São Paulo,,,,,,,,,yes,,,,,,,,,,,,+55 11 5080 4000,http://www.hospitaledmundovasconcelos.com.br/,,,,,,,,,,,,,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6545801 -23.5957499, -46.6536981 -23.5947748, -46.6526899 -23.5949419, -46.6531872 -23.5954809, -46.6535834 -23.5959028, -46.6539059 -23.5958502, -46.6541282 -23.5958237, -46.6545801 -23.5957499))",981,,Avenida Ibirapuera,hospital,hospital,Hospital do Servidor Público Estadual,,,,,,,,,São Paulo,,,,,,,,,,,,,Governo do Estado de São Paulo,,,,,,,,+55 11 5583 7001,http://www.iamspe.sp.gov.br/,,,,,,,,,,,,,,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6547943 -23.5958992, -46.654623 -23.5958992, -46.6524271 -23.5963449, -46.6524956 -23.5969356, -46.6525531 -23.597453, -46.6551319 -23.5972367, -46.6557651 -23.5970606, -46.6557393 -23.5968901, -46.6548522 -23.595959, -46.6547943 -23.5958992))",981,,Avenida Ibirapuera,hospital,hospital,Hospital do Servidor Público Estadual,,,,,,,,,São Paulo,,,,,,,,,yes,,,,Governo do Estado de São Paulo,,,,,,,,+55 11 5583 7001,http://www.iamspe.sp.gov.br/,,,,,,,,,,,,,,,BR,Hospital do Servidor Público Estadual Francisco Morato de Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6561727 -23.6146921, -46.6561479 -23.6146826, -46.6561276 -23.6146696, -46.6550633 -23.6135439, -46.654784 -23.6132486, -46.6547805 -23.6132313, -46.6547903 -23.6132194, -46.6548335 -23.6131853, -46.6549062 -23.6131278, -46.6558399 -23.61239, -46.6563274 -23.6120197, -46.6563469 -23.6120053, -46.6563693 -23.6120018, -46.6563899 -23.6120076, -46.6564032 -23.6120257, -46.6570724 -23.6126948, -46.6577167 -23.6133796, -46.6577337 -23.6134024, -46.6577454 -23.6134323, -46.6577368 -23.6134601, -46.6577205 -23.6134854, -46.6562148 -23.6146785, -46.6561947 -23.6146877, -46.6561727 -23.6146921))",699,04074-031,Avenida Moreira Guimarães,hospital,hospital,Hospital da Cruz Vermelha,,2080494,BR07127753000101,https://www.cvbsp.org.br/media/hospital.php,,,,,São Paulo,,Indianopólis,,,,,,,,,,,Movimento Internacional da Cruz Vermelha e do Crescente Vermelho,Q7178,,,,,Cruz Vermelha,,+55 11 5056-8710,,,,,,,,,,,,wall,,ngo,,BR,Hospital dos Defeitos da Face,,,,,,,,,,pt:Movimento Internacional da Cruz Vermelha e do Crescente Vermelho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7403901 -23.5658343, -46.7397181 -23.5647098, -46.7401483 -23.5644711, -46.7409183 -23.5641334, -46.7411598 -23.563973, -46.7416681 -23.5636331, -46.7425797 -23.5642575, -46.7417969 -23.565249, -46.7416145 -23.5651353, -46.7415163 -23.5651018, -46.7414166 -23.5652603, -46.7403901 -23.5658343))",2565,05508-000,Avenida Professor Lineu Prestes,hospital,hospital,Hospital Universitário,,2076926,BR63025530008512,,,Q9004924,,,São Paulo,São Paulo,,,,,,,,yes,,,,Universidade de São Paulo,,HU,,,,,,,http://www.hu.usp.br,,,,,,Category:Hospital Universitário da Universidade de São Paulo,,,,,,,public,,BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.7391944 -23.5843042, -46.7388695 -23.5842941, -46.73867 -23.5842821, -46.7384875 -23.5842365, -46.7383339 -23.5841634, -46.7382556 -23.5841219, -46.7382896 -23.5842111, -46.738335 -23.5842872, -46.7384264 -23.5843929, -46.7384853 -23.5844581, -46.7385801 -23.584502, -46.7386873 -23.584567, -46.739007 -23.5847323, -46.739115 -23.5847457, -46.739467 -23.5845474, -46.7397654 -23.5842902, -46.7391944 -23.5843042))",1125,05594-001,Rua Augusto Farina,hospital,hospital,Pronto Socorro Municipal Doutor Caetano Virgílio Neto,,2027100,,,,,,,,,,,,,,,,yes,,,,Prefeitura do Município de São Paulo,,,,,,,,,,,,,,,,,,,,,,government,,,,,,,,,,,,BR46392130000380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6421516 -23.5684518, -46.6409902 -23.5684837, -46.6409111 -23.5673209, -46.6409367 -23.566673, -46.6409688 -23.5665882, -46.6410117 -23.5665378, -46.6411146 -23.5664817, -46.6412395 -23.5664399, -46.6412326 -23.5663291, -46.6419089 -23.5662871, -46.6421241 -23.5668519, -46.6421463 -23.5670025, -46.6421503 -23.5671635, -46.6421677 -23.5676786, -46.6421516 -23.5684518))",769,01323-001,Rua Maestro Cardim,hospital,hospital,Hospital Beneficência Portuguesa,,9413448,BR60840055035270,http://www.bpsp.org.br,,Q9654232,pt:Beneficência Portuguesa de São Paulo,,São Paulo,,,,,,,,,yes,,,,,,,,,,,,+55 11 3505-4021,,,,,,,Category:Beneficiência Portuguesa de São Paulo,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.4030525 -23.5980607, -46.4043427 -23.5969425, -46.4047021 -23.5964854, -46.404863 -23.5961609, -46.4038629 -23.5957128, -46.4038129 -23.5956851, -46.4032762 -23.5962828, -46.4032837 -23.596275, -46.4034657 -23.5964235, -46.4034582 -23.5964313, -46.4025301 -23.5975029, -46.4030525 -23.5980607))",2100,08471-000,Avenida dos Metalúrgicos,hospital,hospital,Hospital Municipal Santa Marcelina Cidade Tiradentes - Carmem Prudente,+55 11 2559-6200,,,,,,,,São Paulo,,Cidade Tiradentes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hospital Municipal Carmen Prudente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6546924 -23.5569891, -46.6547017 -23.5570075, -46.6544347 -23.5581774, -46.6544304 -23.5581755, -46.6541379 -23.5580604, -46.6531746 -23.5575739, -46.6529431 -23.5574542, -46.652831 -23.5573573, -46.6529837 -23.5567624, -46.6538239 -23.5569789, -46.6538971 -23.5567522, -46.6546828 -23.5569715, -46.6546924 -23.5569891))",115,01308-050,Rua Dona Adma Jafet,hospital,hospital,Hospital Sírio Libanês,+55 11 3394-0200,2079127,BR61590410000124,https://www.hospitalsiriolibanes.org.br,,Q9296089,pt:Hospital Sírio-Libanês,,,,,,,,,,faleconosco@hsl.org.br,yes,,,,,,,,,,,,,,,,,,,Category:Hospital Sírio-Libanês,,,,,,2025-02-14,private,,,,,,,,survey,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6385991 -23.5926874, -46.6381612 -23.5921585, -46.638475 -23.5918597, -46.6389472 -23.5913482, -46.639043 -23.591263, -46.6392086 -23.591306, -46.6393611 -23.5926183, -46.6385991 -23.5926874))",462,04020-040,Rua Madre Cabrini,hospital,hospital,Hospital Israelita Albert Einstein,+55 11 2151-7200;+55 11 2151-1233,,,https://www.einstein.br,,,,,,,,http://www.facebook.com/HospitalAlbertEinstein,,http://instagram.com/hosp_einstein,http://www.twitter.com/hosp_einstein,http://www.youtube.com/user/HospitalEinstein,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-26,,,,Hospital Albert Einstein,,,,,,,,,,,,http://www.linkedin.com/company/hospital-albert-einstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.5603272 -23.5925475, -46.5604713 -23.5922764, -46.5611371 -23.5925737, -46.5612397 -23.5927243, -46.5614144 -23.5930281, -46.5618465 -23.5932259, -46.5620421 -23.5932911, -46.5626876 -23.5932867, -46.562034 -23.5938393, -46.5618138 -23.5938614, -46.5600426 -23.593077, -46.5603272 -23.5925475))",1501,03227-000,Avenida Francisco Falconi,hospital,,Hospital Estadual Vila Alpina,,,,,,,,,São Paulo,SP,,,,,,,,,,,,Secretaria de Estado da Saúde,,,,,,,,+55 11 2318-2100;+55 11 2318-2280,http://www.cidadao.sp.gov.br/servico.php?serv=2709,,,,,,,,,,,,,,,BR,,,,,,,,,+55 11 2318-2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.5860734 -23.5691154, -46.586052 -23.5694842, -46.5850488 -23.56944, -46.5849866 -23.5693446, -46.5860326 -23.5690766, -46.5860734 -23.5691154))",123,03128-020,Rua Américo Ventura,hospital,hospital,Hospital e Maternidade São Cristóvão,+55 11 2029-7222;+55 11 2029-7200;+55 0800-7700-666,2080796,BR60975174000363,https://www.saocristovao.com.br,,Q10298474,pt:Hospital São Cristóvão,,,,,https://pt-br.facebook.com/gruposaocristovaosaude,,https://www.instagram.com/saocristovaosaude,,,contato@saocristovao.com.br,yes,,,,,,Hospital São Cristóvão,1965-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6512579 -23.5611189, -46.6510304 -23.5611287, -46.6510197 -23.5605153, -46.6508543 -23.5605076, -46.6507973 -23.5604362, -46.6505602 -23.5604159, -46.6507092 -23.561163, -46.6512177 -23.5613004, -46.6512579 -23.5611189))",,,,hospital,hospital,Hospital IGESP,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYGON ((-46.6539347 -23.657235, -46.6535269 -23.6576482, -46.6534537 -23.6577225, -46.6530659 -23.657435, -46.6532948 -23.65719, -46.6529366 -23.6569091, -46.6533564 -23.6564599, -46.6537328 -23.6567551, -46.6535594 -23.6569407, -46.6539347 -23.657235))",2785,04378-500,Avenida Santa Catarina,hospital,hospital,Hospital Municipal Vila Santa Catarina Dr. Gilson de C. Marques de Carvalho,+55 11 2151 2063,7711980,,,,,,,São Paulo,,Vila Santa Catarina,,,,,,,,,,,Hospital Israelita Albert Einstein,,Hospital Municipal Vila Santa Catarina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR46392130000380,,,,Hospital Santa Marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
