geometry,amenity,name,addr:housenumber,addr:street,check_date,name:en,wheelchair,wikidata,wikipedia,education,addr:city,addr:postcode,addr:suburb,wikimedia_commons,school,sport,name:pt,network,old_name,training,website,phone,description,addr:country,addr:district,addr:state,email,short_name,building,operator,addr:subdistrict,contact:facebook,contact:instagram,contact:youtube,contact:phone,addr:place,contact:website,internet_access,internet_access:fee,operator:type,operator:wikidata,ref,source,office,religion,addr:housename,entrance,level,opening_hours,note,internet_access:ssid,alt_name,alt_name_1,contact:email,contact:flickr,brand,brand:wikidata,denomination,capacity,official_name,start_date,mobile,grades,language:ja,language:pt,ele,fee,image,polling_station,female_owner,lgbtq,reservation,operator:short,contact:twitter,barrier,name:etymology:wikidata,name:de,contact:fax,building:architect,building:levels,building:material,colour,height,name:es,roof:colour,name:etymology,ref:INEP,loc_name,operator:wikipedia,isced:level,min_age,network:wikidata,museum,tourism,landuse,fax,material,wall,contact:whatsapp,wikipedia:pt,building:levels:underground,contact:linkedin,toilets:wheelchair,not:operator:wikidata,layer,contact:mobile,phone:BR,nohousenumber,healthcare,ref:CNES,ref:vatin,historic,contact:foursquare,contact:spotify,shortest_name,fence_type,preschool,mapillary,access,addr:unit,leisure,fixme,roof:height,roof:shape,branch,building:prefabricated,smoking,source:geometry,addr:street:name,brunch,residential,dance:teaching,addr:floor,construction,barrier:colour,wall:colour,school:level,ref:CIE,esperanto,language:eo,operator:short_name,type,payment:account_cards,payment:american_express,payment:cards,payment:cash,payment:cheque,payment:contactless,payment:credit_cards,payment:cryptocurrencies,payment:debit_cards,payment:diners_club,payment:discover_card,payment:dkv,payment:electronic_purses,payment:girocard,payment:maestro,payment:mastercard,payment:pikepass,payment:uta,payment:visa,payment:visa_debit,payment:visa_electron,area,surface,related_law,access:conditional,geometry_std,tipo_escola
POINT (-46.7677924 -23.6616193),school,Escola São Vicente de Paulo,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7677924 -23.6616193),privada
POINT (-46.7712944 -23.6655804),school,Colégio Adventista Ellen.G. White,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.7712944 -23.6655804),privada
"POLYGON ((-46.7587432 -23.621076, -46.7586456 -23.6213344, -46.7587113 -23.6213585, -46.7588023 -23.6210995, -46.7591898 -23.6211756, -46.7591799 -23.6214364, -46.759255 -23.6214274, -46.7593262 -23.6213839, -46.7593875 -23.6213929, -46.7594943 -23.6211647, -46.759862 -23.6214346, -46.7603288 -23.6208901, -46.7598224 -23.6207674, -46.76003 -23.6203802, -46.760089 -23.620248, -46.7601207 -23.6201919, -46.7601529 -23.620122, -46.7602873 -23.6198403, -46.7602881 -23.6198154, -46.7601834 -23.6196026, -46.7593401 -23.6196702, -46.7580258 -23.6199517, -46.7578186 -23.6204483, -46.7577563 -23.620784, -46.7587432 -23.621076))",university,Universidade Corporativa Comendadeira Helena Lundgren,5525,Estrada do Campo Limpo,,,,,,,São Paulo,05787-000,Pirajussara,,,,,,,,https://www.ucchl.com.br/,+55 11 5843 5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.75912239276658 -23.62045508367872),privada
"POLYGON ((-46.6283732 -23.5466899, -46.6271447 -23.5465598, -46.6269554 -23.5478535, -46.6271955 -23.5480225, -46.627401 -23.5479987, -46.6276305 -23.5479845, -46.6277931 -23.5479887, -46.6279869 -23.5475212, -46.6280704 -23.5474698, -46.6283732 -23.5466899))",school,Escola Estadual São Paulo,500,Rua da Figueira,,,,Q10274331,pt:Escola Estadual São Paulo,,São Paulo,03003-000,Brás,,,,,,Roosevelt,,,+55 11 3228-9904;+55 11 3229-6515,,,,,e001363a@educacao.sp.gov.br,EE São Paulo,,Secretaria da Educação do Estado de São Paulo,,,,,,,,,,,,35001363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.627578447031254 -23.547257241833194),publica
"POLYGON ((-46.7262699 -23.5636388, -46.7265547 -23.5641337, -46.7268087 -23.5640095, -46.727024 -23.5639042, -46.7267391 -23.5634093, -46.7262699 -23.5636388), (-46.7265798 -23.5637241, -46.7265914 -23.5637444, -46.7265449 -23.5637671, -46.7265929 -23.5638504, -46.7266471 -23.563824, -46.7266606 -23.5638474, -46.726516 -23.5639181, -46.7264429 -23.5637911, -46.7265798 -23.5637241), (-46.7267805 -23.5636258, -46.7268534 -23.5637523, -46.7267163 -23.5638194, -46.7267035 -23.5637972, -46.7267512 -23.5637739, -46.7267033 -23.5636907, -46.7266547 -23.5637145, -46.7266425 -23.5636934, -46.7267805 -23.5636258))",college,Poli - Ed. Semi-Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.726646801572755 -23.56377134225624),privada
"POLYGON ((-46.6370594 -23.5380094, -46.6369774 -23.5381735, -46.6367468 -23.5386352, -46.6373369 -23.5390249, -46.6375889 -23.5386882, -46.6377648 -23.5384532, -46.6370594 -23.5380094), (-46.6375315 -23.5385061, -46.63735 -23.5387485, -46.637157 -23.538627, -46.6373384 -23.5383846, -46.6375315 -23.5385061), (-46.6371412 -23.5384274, -46.6370406 -23.5385618, -46.6369481 -23.5385036, -46.6370286 -23.5383594, -46.6371412 -23.5384274))",college,Centro Paula Souza,140,Rua dos Andradas,,,,,,,São Paulo,01208-000,Santa Ifigênia,,,,,,,,,,,,,,,,college,Centro Paula Souza,,,,,,,,no,,public,Q52637715,,,educational_institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.63722496998957 -23.538519489212522),privada
"POLYGON ((-46.7260048 -23.5575151, -46.7260879 -23.5576591, -46.7264775 -23.5574682, -46.7262708 -23.5571099, -46.7258812 -23.5573008, -46.7259845 -23.5574798, -46.7260048 -23.5575151), (-46.7263161 -23.5573655, -46.7260838 -23.5574786, -46.7260437 -23.5574087, -46.726276 -23.5572956, -46.7263161 -23.5573655))",college,Jornalismo e Editoração,,,,,,,,,,,,,,,,,,,https://www3.eca.usp.br/cje,(11) 3091-4112,,,,,cje@usp.br,,yes,Escola de Comunicações e Artes da USP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.726179280907296 -23.557384160211903),privada
"POLYGON ((-46.7259059 -23.5575183, -46.7258025 -23.5573389, -46.7254128 -23.5575299, -46.7256195 -23.5578882, -46.7260091 -23.5576973, -46.7259262 -23.5575535, -46.7259059 -23.5575183), (-46.7258499 -23.5575934, -46.7256176 -23.5577065, -46.7255775 -23.5576365, -46.7258098 -23.5575234, -46.7258499 -23.5575934))",college,"Relações Públicas, Propaganda e Turismo",,,,,,,,,,,,,,,,,,,https://www3.eca.usp.br/crp,(11) 3091-4122,,,,,ecacrp@usp.br,,yes,Escola de Comunicações e Artes da USP,,,,,,,,,,government,,,,,,,,,,,,"Relações Públicas, Propaganda e Turismo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.725710612338766 -23.55761338326889),privada
"POLYGON ((-46.6129732 -23.5403589, -46.612958 -23.5403497, -46.6128838 -23.540455, -46.6129138 -23.540473, -46.6129721 -23.540508, -46.6129788 -23.5404984, -46.6130337 -23.5405313, -46.613024 -23.5405449, -46.6130735 -23.5405746, -46.6130824 -23.5405618, -46.6131365 -23.5405943, -46.6131289 -23.540605, -46.6132158 -23.5406571, -46.6132919 -23.5405493, -46.6132769 -23.5405402, -46.6134068 -23.5403561, -46.6133259 -23.5403075, -46.6132891 -23.5403597, -46.61315 -23.5402762, -46.6131887 -23.5402214, -46.6131054 -23.5401714, -46.6129732 -23.5403589), (-46.613243 -23.5404138, -46.6131821 -23.5404992, -46.6131781 -23.5405033, -46.6131729 -23.5405044, -46.6131687 -23.5405039, -46.6131638 -23.540502, -46.6131484 -23.5404925, -46.6131587 -23.5404751, -46.6131562 -23.5404571, -46.6131052 -23.5404287, -46.6130865 -23.5404323, -46.6130742 -23.5404484, -46.6130536 -23.5404365, -46.6130516 -23.5404329, -46.613051 -23.5404288, -46.6130527 -23.5404229, -46.6130575 -23.5404154, -46.6131142 -23.5403358, -46.613243 -23.5404138))",college,SP Escola Teatro,2401,Avenida Rangel Pestana,,,,,,,São Paulo,03001-000,Brás,,,,,,,,https://www.spescoladeteatro.org.br/contato/,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.69,,# D2691E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hipped,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.613143252008165 -23.54042339848913),privada
"POLYGON ((-46.6041765 -23.5314579, -46.6038758 -23.53146, -46.6038752 -23.5316194, -46.6037716 -23.5316185, -46.6037726 -23.5314607, -46.6035816 -23.531462, -46.6035386 -23.5314623, -46.6034974 -23.5314626, -46.6034658 -23.5314628, -46.6034641 -23.5316153, -46.6033601 -23.5316136, -46.6033646 -23.5314636, -46.6032919 -23.5314641, -46.6030896 -23.5314655, -46.6030616 -23.5317853, -46.6030356 -23.5320812, -46.6031753 -23.5320805, -46.6032846 -23.53208, -46.6033203 -23.5320798, -46.6036126 -23.5320784, -46.6041806 -23.5320764, -46.604177 -23.531523, -46.6041765 -23.5314579), (-46.6033641 -23.5316844, -46.6034679 -23.5316848, -46.6034705 -23.5320165, -46.603365 -23.5320186, -46.6033641 -23.5316844), (-46.6037741 -23.5317718, -46.6037738 -23.5316834, -46.6038752 -23.5316799, -46.6038758 -23.5317713, -46.6038773 -23.5320138, -46.603775 -23.5320134, -46.6037741 -23.5317718))",university,Faculdade Cantareira,729,Rua Marcos Arruda,,,,,,,São Paulo,03020-000,Catumbi,,,,,,,,cantareira.br,,,,,,,,yes,,,,,,,,,,,,,,pmsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.603621121928015 -23.53177651164621),privada
"POLYGON ((-46.625867 -23.4982885, -46.625853 -23.4982917, -46.6258632 -23.4983382, -46.6258647 -23.4983447, -46.6258459 -23.4983489, -46.6258549 -23.4983885, -46.6258038 -23.4984001, -46.6258022 -23.4984133, -46.625809 -23.4984381, -46.6258689 -23.4984252, -46.6258737 -23.4984405, -46.6258634 -23.4984428, -46.6258776 -23.4985004, -46.6259523 -23.4984855, -46.6259632 -23.4984833, -46.6259581 -23.4984583, -46.6259787 -23.4984535, -46.6259851 -23.4984789, -46.6260242 -23.4984711, -46.6261064 -23.4984548, -46.6262376 -23.4984286, -46.6262118 -23.4983208, -46.6261831 -23.4983266, -46.6261412 -23.4983351, -46.6260998 -23.4983441, -46.6260882 -23.4982917, -46.6260779 -23.4982451, -46.6261187 -23.4982367, -46.6261094 -23.4981959, -46.6259185 -23.4982299, -46.6258655 -23.4982392, -46.6258709 -23.4982572, -46.6258603 -23.4982596, -46.6258661 -23.4982844, -46.625867 -23.4982885), (-46.6259846 -23.4983649, -46.6260373 -23.4983531, -46.6260388 -23.4983587, -46.626052 -23.498406, -46.6260209 -23.4984125, -46.6260128 -23.4983791, -46.6259441 -23.498394, -46.6259408 -23.4983818, -46.625986 -23.4983713, -46.6259846 -23.4983649))",school,Colégio Floresta Azul,2489,Rua Voluntários da Pátria,,,,,,,São Paulo,02401-000,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,pmsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.62600896941574 -23.498355887997516),privada
"POLYGON ((-46.7099897 -23.8323685, -46.7099459 -23.8323654, -46.7099454 -23.8323685, -46.7098808 -23.8323666, -46.7098835 -23.8323357, -46.7098296 -23.832333, -46.7098266 -23.832363, -46.7097532 -23.8323599, -46.7097247 -23.8328889, -46.7099261 -23.8328968, -46.7099349 -23.8327497, -46.7099692 -23.8327494, -46.7099704 -23.8327141, -46.7101927 -23.8327303, -46.7102016 -23.8326882, -46.7099738 -23.8326706, -46.7099779 -23.8325993, -46.7101365 -23.8326084, -46.7101364 -23.8326006, -46.7102188 -23.832603, -46.7102299 -23.8323862, -46.7102837 -23.8323799, -46.7102843 -23.8323675, -46.7102845 -23.8323643, -46.7102849 -23.8323577, -46.710286 -23.8323364, -46.7099897 -23.8323685), (-46.7101327 -23.8323978, -46.71013 -23.8324396, -46.7101156 -23.8324402, -46.7101158 -23.8324486, -46.7100199 -23.8324446, -46.7100135 -23.8325837, -46.7099795 -23.8325828, -46.7099881 -23.8324154, -46.7101327 -23.8323978))",school,EMEF Ulysses da Sylveira Guimaraes,209,Rua Conde de Lancastre,,,yes,Q10369227,pt:Secretaria Municipal de Educação de São Paulo,,São Paulo,04890-290,Jardim Santa Fé,,,,,,,,http://eolgerenciamento.prefeitura.sp.gov.br/frmgerencial/menuescola.aspx?Cod=012688,+55 11 5920-8892,Ensino Fundamental,,,,emefuguimaraes@prefeitura.sp.gov.br,,yes,SP,,,,,,,,,,,,,pmsp;survey;local knowledge;gps;aerial imagery;streetlevel imagery,,christian,,,5,,Ensino Fundamental Ensino Fundamental - Anos Iniciais Ensino Fundamental - Anos Finais,,,,,,,,roman_catholic,,,1987,,,,,760,,,,,,,,,,,,,,,,,7.08,,,,,,,,,,,attraction,,+55 11 5921-9947,,,,,,,,,,,,,,,,,,,,,,,,,,EMEF - Escola Municipal de Ensino Fundamental (Escola Pública Municipal),,,,,,,,,,,,,,,,,,,,multipolygon,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,POINT (-46.70994322249474 -23.832581815268156),publica
"POLYGON ((-46.7880511 -23.6862476, -46.7876488 -23.686429, -46.7876964 -23.6865187, -46.7876295 -23.6865489, -46.7876969 -23.6866755, -46.7878203 -23.6866199, -46.7878419 -23.6866606, -46.7879359 -23.6866182, -46.7879145 -23.6865778, -46.7881004 -23.686494, -46.7880518 -23.6864027, -46.7879178 -23.686463, -46.7879014 -23.686432, -46.7880748 -23.6863539, -46.7880919 -23.6863861, -46.7881027 -23.6863812, -46.7881252 -23.6864233, -46.7882105 -23.6863849, -46.7882578 -23.6864737, -46.7884335 -23.6863945, -46.7884634 -23.686381, -46.7884016 -23.6862647, -46.7883922 -23.686269, -46.7883751 -23.686237, -46.7883414 -23.6862522, -46.7882786 -23.6861339, -46.7881165 -23.6862069, -46.7881949 -23.6863543, -46.7881819 -23.6863601, -46.7881612 -23.6863211, -46.788117 -23.686341, -46.7881114 -23.6863307, -46.7880983 -23.6863366, -46.7880511 -23.6862476), (-46.787785 -23.6865174, -46.7877249 -23.6865437, -46.7877091 -23.6865131, -46.7877691 -23.6864867, -46.787785 -23.6865174), (-46.7878794 -23.686474, -46.7878214 -23.6864985, -46.7878067 -23.686469, -46.7878646 -23.6864445, -46.7878794 -23.686474))",school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.788027536704824 -23.68640860855421),privada
"POLYGON ((-46.5607652 -23.5361653, -46.5599551 -23.5360015, -46.5599365 -23.5360793, -46.5599229 -23.536076, -46.5598604 -23.5362898, -46.5598709 -23.536292, -46.559848 -23.5363826, -46.5598662 -23.5363861, -46.5598477 -23.5364719, -46.5599337 -23.5364888, -46.5602226 -23.5365458, -46.5602531 -23.5365519, -46.5606567 -23.5366315, -46.5606653 -23.5365945, -46.5607643 -23.5361691, -46.5607652 -23.5361653), (-46.5603318 -23.5362796, -46.5605899 -23.5363292, -46.5605763 -23.5363949, -46.5603157 -23.5363433, -46.5603318 -23.5362796), (-46.5600329 -23.5362191, -46.5601182 -23.5362356, -46.5601029 -23.5363018, -46.5600183 -23.5362833, -46.5600329 -23.5362191))",university,Univercidade Cidade de São Paulo - UNICID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pmsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.56029526533629 -23.53631588243362),privada
"POLYGON ((-46.5569451 -23.5492746, -46.5570224 -23.5492891, -46.557096 -23.5493028, -46.5572827 -23.5493378, -46.5573342 -23.5493474, -46.5573437 -23.5493068, -46.5574128 -23.5490156, -46.5574737 -23.5487586, -46.5570041 -23.5486658, -46.5570209 -23.548598, -46.5568141 -23.548552, -46.5567274 -23.5485352, -46.5568146 -23.5481702, -46.5567729 -23.5481615, -46.5560874 -23.5480195, -46.5560631 -23.5480144, -46.5560366 -23.5481137, -46.5560219 -23.5481662, -46.5560073 -23.5482187, -46.5560035 -23.5482322, -46.5559926 -23.5482713, -46.555978 -23.5483238, -46.555968 -23.5483597, -46.5557769 -23.5490564, -46.5558302 -23.5490665, -46.5558837 -23.5490767, -46.555925 -23.5490845, -46.5559675 -23.5490926, -46.5560237 -23.5491033, -46.5561 -23.5491178, -46.5562536 -23.5491462, -46.5562968 -23.5491541, -46.5563309 -23.5491604, -46.5564049 -23.549174, -46.5564341 -23.5491794, -46.5564426 -23.549181, -46.5564832 -23.5491885, -46.5565058 -23.5491927, -46.5565613 -23.5492029, -46.5566385 -23.5492172, -46.5566635 -23.5492219, -46.5567161 -23.5492318, -46.5567527 -23.5492386, -46.556792 -23.549246, -46.5568682 -23.5492602, -46.5569451 -23.5492746))",school,Colégio Santo Antônio de Lisboa,1317,Rua Francisco Marengo,,,,,,,São Paulo,03313-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,yes,,,,POINT (-46.55656690074175 -23.548744158503162),privada
"POLYGON ((-46.6391897 -23.6191183, -46.6391561 -23.6189661, -46.6391463 -23.6189219, -46.6391086 -23.6187514, -46.639101 -23.6187172, -46.6387765 -23.6187988, -46.6387514 -23.6188104, -46.6386569 -23.6188341, -46.6386068 -23.6188467, -46.6385787 -23.6188538, -46.6384419 -23.6188882, -46.6384049 -23.6188975, -46.6384315 -23.6189812, -46.6384634 -23.6190814, -46.6384844 -23.6191616, -46.6384091 -23.6191817, -46.638107 -23.6192335, -46.6380679 -23.6192405, -46.6380335 -23.6192451, -46.6380449 -23.6193101, -46.6380935 -23.6196122, -46.6381204 -23.6197794, -46.6381907 -23.6197415, -46.6384894 -23.6195932, -46.6385537 -23.6195613, -46.6385445 -23.6195456, -46.6384953 -23.6194614, -46.6385683 -23.6194251, -46.6386074 -23.6194058, -46.6388963 -23.6192625, -46.6389176 -23.6192519, -46.6390862 -23.6191683, -46.6391897 -23.6191183))",school,Colégio Santa Amália,1673,Avenida Jabaquara,,,,,,,São Paulo,04045-003,Saúde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christian,,,,,,,,,,,,,catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.63859871587454 -23.619199356450277),privada
"POLYGON ((-46.6607534 -23.5690255, -46.6605498 -23.5688206, -46.6605216 -23.5688162, -46.6605052 -23.5688249, -46.6604686 -23.568865, -46.6604022 -23.5689378, -46.6603334 -23.5690132, -46.6602321 -23.5691243, -46.6599721 -23.5694094, -46.6596868 -23.5697222, -46.6599715 -23.5700149, -46.6599745 -23.5700181, -46.6600037 -23.5699876, -46.6600742 -23.5699145, -46.6601302 -23.5698531, -46.6602006 -23.5697758, -46.6602079 -23.5697678, -46.6601925 -23.5697562, -46.6602206 -23.5697249, -46.6605104 -23.5699543, -46.6607738 -23.5701628, -46.6608543 -23.5702366, -46.6608707 -23.5702528, -46.6614642 -23.5697701, -46.6607534 -23.5690255))",school,Colégio Assunção,655,Alameda Lorena,,,,Q52188485,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.66059658968116 -23.569576123211355),privada
"POLYGON ((-46.7431628 -23.5723069, -46.743229 -23.5723011, -46.7432689 -23.5722467, -46.7433011 -23.5722026, -46.7433249 -23.5721701, -46.7432827 -23.5721434, -46.7431246 -23.5720434, -46.7430622 -23.572003, -46.7430127 -23.5719709, -46.7429979 -23.5719613, -46.7429645 -23.5719398, -46.7429551 -23.5719337, -46.7429469 -23.5719283, -46.7428712 -23.5718793, -46.7428443 -23.5718624, -46.7428109 -23.5718413, -46.7427667 -23.5718134, -46.7426839 -23.5717612, -46.7426761 -23.5717562, -46.7426303 -23.5717274, -46.7422794 -23.5721561, -46.7423351 -23.5721926, -46.7423661 -23.5722129, -46.7424114 -23.5722425, -46.7427111 -23.5724389, -46.7427637 -23.5724735, -46.742802 -23.5724989, -46.7428311 -23.5725181, -46.7428844 -23.5725533, -46.7429576 -23.5726017, -46.7429921 -23.5726245, -46.7430298 -23.5725731, -46.7430049 -23.572526, -46.7431628 -23.5723069))",school,Colegio Vital Brazil,438,Avenida Nossa Senhora de Assunção,,,,,,,São Paulo,05359-000,Vila Butantã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.74279700823842 -23.572162896735712),privada
"MULTIPOLYGON (((-46.6406491 -23.6197173, -46.6408799 -23.6196702, -46.6408642 -23.6196045, -46.6407799 -23.6196216, -46.6407841 -23.6196391, -46.6407019 -23.6196559, -46.6406977 -23.6196384, -46.6406144 -23.6196554, -46.6406302 -23.6197211, -46.6406491 -23.6197173)), ((-46.6409674 -23.6195834, -46.6409064 -23.6195959, -46.6408989 -23.6195974, -46.6409076 -23.6196336, -46.6409348 -23.619628, -46.6409443 -23.6196671, -46.6409841 -23.619659, -46.640974 -23.6196133, -46.6409674 -23.6195834)))",school,Escola Vila Monteiro Lobato,70,Rua das Uváias,,,yes,,,,São Paulo,04055-110,Saúde,,,,,,,,https://www.vilamonteirolobato.com.br/,+55 11 2578-8972,,,,,,,school,,,,,,,,,,,,,,pmsp;local knowledge,,none,,,,,,,,,,,,,,,,,,0-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.640789855400506 -23.619655972884882),privada
"POLYGON ((-46.7102169 -23.753423, -46.7101626 -23.7534292, -46.7100832 -23.7534392, -46.7099863 -23.7534463, -46.7098179 -23.7534402, -46.7094677 -23.7534106, -46.7093205 -23.7534014, -46.7092915 -23.7534035, -46.7092692 -23.7534188, -46.7092592 -23.7534351, -46.7092503 -23.7534586, -46.7092503 -23.7534769, -46.709257 -23.7535045, -46.7094516 -23.7539174, -46.7095477 -23.7541156, -46.7097261 -23.7545832, -46.7097677 -23.7546923, -46.709803 -23.7547099, -46.7098479 -23.7547011, -46.7098704 -23.7546512, -46.710188 -23.7535824, -46.7102169 -23.753423))",school,Colégio 10 de Maio,15,Estrada dos Mendes,,,,,,school,São Paulo,04860-140,Jardim São Rafael,,,,,,,,https://10demaio.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.70976018891548 -23.753880359094424),privada
"POLYGON ((-46.6402972 -23.6208428, -46.6402534 -23.6206476, -46.6402388 -23.6205824, -46.6402142 -23.6204713, -46.6402067 -23.6204733, -46.6398337 -23.6205444, -46.63988 -23.6207575, -46.6398882 -23.620795, -46.6399153 -23.6209199, -46.6402972 -23.6208428))",university,Universidade São Judas,1870,Avenida Jabaquara,,,,,,,São Paulo,04046-300,Mirandópolis,,,,,,Estácio;UniRadial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-46.64006476853508 -23.62069499514828),privada
