geometry,amenity,brand,brand:wikidata,dispensing,drive_through,healthcare,name,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,addr:country,addr:state,contact:phone,contact:website,opening_hours,check_date,phone,website,brand:wikipedia,contact:email,mobile,alt_name,operator,cuisine,addr:suburb,smoking,name:pt,payment:cash,payment:credit_cards,payment:debit_cards,old_name,entrance,contact:fax,parking,level,name:en,height,shop,building,description,email,check_date:opening_hours,internet_access,payment:mastercard,payment:visa,toilets:wheelchair,fax,healthcare:speciality,payment:american_express,payment:coins,payment:maestro,payment:visa_debit,payment:visa_electron,payment:elo,emergency,internet_access:fee,organic,check_date:currency:XBT,currency:XBT,payment:apple_pay,payment:cards,payment:contactless,payment:diners_club,payment:discover_card,payment:google_pay,payment:jcb,payment:lightning,payment:lightning_contactless,payment:mastercard_contactless,payment:nfc,payment:onchain,payment:samsung_pay,payment:unionpay,source,delivery,landuse,branch,building:levels,roof:levels,roof:colour,roof:material,mapillary,roof:shape,ref:vatin,atm,layer,note,payment:notes,building:colour,air_conditioning,indoor,room,area,start_date,survey:date,contact:facebook,payment:electronic_purses,wikidata,wikipedia,leisure,contact:instagram,opening_hours:drive_through,opening_date,addr:subdistrict,addr:district,type
POINT (-46.700801 -23.6342524),pharmacy,Extra Farma,Q20055480,,,pharmacy,Extra Farma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7000444 -23.6346824),pharmacy,,,,,pharmacy,Drogaria Bahia,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6800802 -23.6327447),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6701468 -23.6167097),pharmacy,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7081927 -23.5712263),pharmacy,,,,,pharmacy,Drogaria Central do Butantã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5820791 -23.5852725),pharmacy,,,yes,,pharmacy,Drogaleste,yes,,,,,,,,,,2023-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5691466 -23.5855924),pharmacy,,,yes,,pharmacy,,yes,,,,,,,,,,2023-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6900592 -23.5467363),pharmacy,Drogasil,Q5308185,,,pharmacy,Drogasil,yes,,,,,,,,,,2023-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6356114 -23.5785753),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,,,1000,,Rua Topázio,,,,,Mo-Sa 07:00-23:00; Su 07:00-22:00,2025-10-26,+55 11 97145-6010,https://www.drogaraia.com.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6393947 -23.5765483),pharmacy,,,,,pharmacy,Ultrafarma,,,,,,,,,,,2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6563848 -23.5970848),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6723265 -23.6173176),pharmacy,,,,,,Droga Raia,,São Paulo,755,04614-013,Rua Demóstenes,,,,,Mo-Su 07:00-23:00,,,,,,,,,,Campo Belo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6257508 -23.4961396),pharmacy,,,,,,Promofarma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6733112 -23.506953),pharmacy,Drogasil,Q5308185,,,pharmacy,Drogasil,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6692879 -23.5466344),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5307142 -23.6109079),pharmacy,,,,,pharmacy,Farma G,,,,,Rua Ana Clara,,,,,07:00 às 21:00 todo dia mas nos domingos das 08:00 às 18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6620922 -23.5568624),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,São Paulo,2381,01311-300,Avenida Paulista,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5327011 -23.6097414),pharmacy,,,,,pharmacy,Drogaria Fégus,,,,,Rua Ana Clara,,,,,De segunda à sábado das 10:00 as 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5307062 -23.6017943),pharmacy,,,yes,no,pharmacy,Farmácia Super Popular,,São Paulo,,,Avenida do Oratório,,,,,,,,,,,,,,,Vila Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5287805 -23.6089696),pharmacy,,,,no,pharmacy,MV Farma,,São Paulo,38,03256-020,rua irma maria umbelina,,,,,,,,,,,,,,,Vila Elze,,,,,,,,,,,,,,,,,,,,,,,emergency,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5293232 -23.6031606),pharmacy,,,yes,yes,pharmacy,Droganita,,São Paulo,4712,03220-200,Avenida do Oratório,,,,,,,,,,,+55 11 99561 5506,,,,Vila Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6869591 -23.5631596),pharmacy,Pague Menos,Q7124466,,no,pharmacy,Pague Menos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6976735 -23.5586416),pharmacy,,,,,pharmacy,Raia,yes,,,,,,,,,,2024-12-15,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,wlan,,,,,,,,,,,,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7160668 -23.5898411),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7211493 -23.594102),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7262624 -23.6136026),pharmacy,,,,,pharmacy,Drogaria e Perfumaria Sulavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perfumery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6572439 -23.5671502),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,São Paulo,1130,01405-001,Rua Pamplona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6427423 -23.526207),pharmacy,,,,,pharmacy,Unidade Dispensadora Tenente Pena,,,506,,Rua dos Italianos,,,,,,,,,,,,,Governo do Estado de São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6598425 -23.5426584),pharmacy,,,,,pharmacy,Droga Raia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6690606 -23.5331348),pharmacy,,,,,pharmacy,Turiassú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5011369 -23.6133461),pharmacy,,,,,pharmacy,,,,132,,Avenida Arquiteto Vilanova Artigas,,,,,,,,,,,,,,,Conjunto Habitacional Teotônio Vilela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6634769 -23.5365439),pharmacy,,,,,pharmacy,Drogaria nova esperança,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5798828 -23.5920454),pharmacy,Droga Leste,,yes,,pharmacy,Droga Leste,,São Paulo,1500,03134-001,Rua Ibitirama,,,,,Mo-Su 07:00-00:00; PH 07:00-00:00,,,https://www.drogaleste.com.br,,,,,,,Vila Prudente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6504552 -23.554424),pharmacy,,,,,pharmacy,Drogaria Nova Bela Vista Preço Popular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5212143 -23.5225483),pharmacy,,,,,pharmacy,Rua Ivoturucaia Farmácia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6685101 -23.6142954),pharmacy,,,,,pharmacy,Farmahit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5941169 -23.580461),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.594589 -23.5793106),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6352096 -23.5535088),pharmacy,,,,,pharmacy,Drogarias FarMelhor - Faz Bem Pra Sua Saúde. Faz Bem Pro Seu Bolso.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6772182 -23.5742216),pharmacy,Panvel,Q10344254,,,pharmacy,Panvel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6963389 -23.5861151),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6861215 -23.5831825),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6060712 -23.6282855),pharmacy,Drogasil,Q5308185,,,pharmacy,Drogasil,yes,,,,Rua Nossa Senhora das Mercês,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6613614 -23.5566845),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6846532 -23.5856223),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6604295 -23.5584715),pharmacy,,,,,pharmacy,Ultrafarma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6908402 -23.5714716),pharmacy,,,,,pharmacy,Ultrafarma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7564034 -23.5685955),pharmacy,Farma Conde,Q100492677,yes,no,pharmacy,Farma Conde,,,1234,,Avenida do Rio Pequeno,,,,,Mo-Sa 07:00-22:00; Su 08:00-22:00; PH off,,+55 11 3719 4222,https://www.farmaconde.com.br/,,,,,,,Rio Pequeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6569959 -23.6539502),pharmacy,,,,,pharmacy,Classe Farma Drogarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6601017 -23.5585047),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6596051 -23.5589486),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6502551 -23.6194706),pharmacy,,,,,pharmacy,Drogaria Farma Ceci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7517623 -23.4099682),pharmacy,,,yes,no,pharmacy,Drogaria Rocha Perus,,,513,,Rua Júlio Maciel,,,,,,,+55 11 3915 3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6141134 -23.6556517),pharmacy,,,yes,no,pharmacy,Doutor farma,,,6327,,Avenida do Cursino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6139148 -23.6553894),pharmacy,,,yes,no,pharmacy,Inovação Farmácia e Manipulação,,,,,Avenida do Cursino,,,,,,,+55 11 2331 4634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6427768 -23.5732566),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6341081 -23.5498381),pharmacy,,,,,pharmacy,Onofre,,São Paulo,100,01001-001,Praça da Sé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6403407 -23.5421334),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5436631 -23.5893478),pharmacy,,,yes,no,pharmacy,,,,5441,,Avenida Professor Luiz Ignácio Anhaia Mello,,,,,"Mo-Sa 08:00-21:30; Su,PH 08:00-20:00",,,,,,,,,,Vila Ema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.54381 -23.588124),pharmacy,Drogaria São Paulo,Q5308184,yes,no,pharmacy,Drogaria São Paulo,,,3680,,Avenida Vila Ema,,,,,"Mo-Su,PH 07:00-23:00",,,,,,,,,,Vila Ema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6546566 -23.5483365),pharmacy,,,,,pharmacy,Drogaria Higienópolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6677737 -23.5309635),pharmacy,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6408926 -23.5433365),pharmacy,,,,,pharmacy,Droga Knox,,São Paulo,263,01041-001,Rua Vinte e Quatro de Maio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6503852 -23.4760989),pharmacy,Farma Conde,Q100492677,,,pharmacy,Farma Conde,,São Paulo,3834,02430-002,Rua Conselheiro Moreira de Barros,,,,,,,,,,,,,,,Lauzane Paulista,,,,,,,,,,,,,,healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6915106 -23.5658499),pharmacy,,,,,pharmacy,Drogaria ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6453314 -23.4759617),pharmacy,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7568738 -23.4865471),pharmacy,,,,,pharmacy,Drogarias Menor Preço,,,,,Estrada Turística do Jaraguá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7274674 -23.5739608),pharmacy,,,,,pharmacy,Ultrafarma,,,,,,,,,,,2024-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6980525 -23.5569384),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,2024-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7167707 -23.5836989),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,http://www.drogariasaopaulo.com.br,24/7,,,,en:Grupo DPSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6681637 -23.5375572),pharmacy,,,,,pharmacy,Farma e cia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6429326 -23.5064259),pharmacy,Drogasil,Q5308185,,,pharmacy,Drogasil,yes,,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6359875 -23.4952204),pharmacy,,,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6759305 -23.5834659),pharmacy,,,,,pharmacy,Farmácia São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7076 -23.5946344),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6519062 -23.5386103),pharmacy,,,,,pharmacy,Ultra popular,,,,,,,,,,Mo-Sa 08:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.5482217 -23.6019021),pharmacy,Drogaria São Paulo,Q5308184,,,pharmacy,Drogaria São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.3998889 -23.5592546),pharmacy,,,,,pharmacy,Droga Leste,,São Paulo,902,,Rua Jerônimo Dias Ribeiro,,,,,24/7,,,,,,,,,,Guaianases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7126404 -23.5819256),pharmacy,,,,,,ManiFarma Farmácia de Manipulação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.7421402 -23.5467382),pharmacy,,,,,pharmacy,Drogaria Laras,,São Paulo,21,,Rua Três Arapongas,,,,,,,,,,,,,,,Jaguaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.6208152 -23.621945),pharmacy,Droga Raia,Q10357101,,,pharmacy,Droga Raia,,,,,,,,,,,,,,pt:RaiaDrogasil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (-46.4921473 -23.6127702),pharmacy,,,,,pharmacy,Eveline,,São Paulo,10015,,Avenida Sapopemba,,,,,,,,,,,,,,,Jd. Sapopemba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
